accommodation_id,Sector,Property Reg Number,Account Name,Rating,Address City/Town,Address County,Eircode/Postal code,Latitude,Longitude,Owner(s) as it appears on Register,Total Units
1,1,HHS04204,Druids Glen Hotel & Golf Resort,5.0,Newtownmountkennedy,5.0,A63 DW08,53.09163,-6.07879,Leila Ryan,144
2,1,HHS01704,Glenview Hotel,4.0,Wicklow,4.0,A63 DC95,53.14226,-6.12708,John O'Farrell,72
3,1,HHS04343,The Western Hotel,4.0,Galway city,4.0,H91 Y3FA,53.27641,-9.04788,Eugene Keville,43
4,1,HHS04007,Hotel Isaacs,4.0,Cork,4.0,T23 F6EK,51.90159,-8.46809,Clement Gleeson,47
5,1,HHS04011,Maldron Hotel Pearse Street,4.0,Dublin 2,4.0,D02 RK37,53.34328,-6.24411,Sean McKeon,126
6,1,HHS04337,Clayton Whites Hotel,4.0,Wexford,4.0,Y35 C5PF,52.34035,-6.46405,Joe O'Brien,160
7,1,HHS03855,Killeen House Hotel,4.0,Killarney,4.0,V93 WR04,52.07555,-9.57124,Patrick Eviston,27
8,1,HHS01451,Ashford Castle Hotel,5.0,Cong,5.0,F31 CA48,53.53451,-9.28459,Lisa Toomey,83
9,1,HHS04336,Raheen Woods Hotel,4.0,Athenry,4.0,H65 E443,53.30066,-8.76173,Lester McNamara,50
10,1,HHS04236,Maldron Hotel Wexford,4.0,Wexford,4.0,Y35 E8KT,52.33748,-6.51422,Sean  McKeon,108
11,1,HHS03676,Ardagh Hotel & Restaurant,4.0,Clifden,4.0,H71 X590,53.46882,10.01749,Stephane Bauvet,17
12,1,HHS04282,Great National Ballykisteen Golf Hotel,4.0,Tipperary,4.0,E34 VK12,52.50213,-8.21678,Cyril  McMahon,40
13,1,HHS03233,Gregans Castle Hotel,4.0,Ballyvaughan,4.0,H91 CF60,53.07678,-9.18426,Simon Haden,21
14,1,HHS03492,Hylands Burren Hotel,4.0,Ballyvaughan,4.0,H91 EY00,53.11534,-9.1492,David Quinn,32
15,1,HHS03987,Casey's of Baltimore Hotel,4.0,Baltimore,4.0,P81 YW66,51.48467,-9.36251,Dominic Casey,14
16,1,HHS03357,Westlodge Hotel,4.0,Bantry,4.0,P75 N978,51.67254,-9.47483,Annette O'Donovan,77
17,1,HHS04408,The Twelve,4.0,Barna,4.0,H91 Y3KA,53.25145,-9.15256,Fergus O'Halloran,47
18,1,HHS03179,The Dunloe Hotel & Gardens,5.0,Beaufort,5.0,V93 E029,52.06128,-9.6283,Jason Clifford,102
19,1,HHS34464,Glashaus Hotel,4.0,Dublin 24,4.0,D24 AT84,53.28785,-6.37402,John Dempsey,48
20,1,HHS04409,Fitzwilton Hotel,4.0,Waterford,4.0,X91 RC9A,52.26338,-7.11968,Geoff Dawson,90
21,1,HHS03425,"Castlecourt Hotel Spa, Leisure and Conference",4.0,Westport,4.0,F28 NX84,53.80116,-9.51899,Joe  Corcoran,161
22,1,HHS04364,"Westport Plaza Hotel Spa, Leisure and Conference",4.0,Westport,4.0,F28 D297,53.80105,-9.51942,Michael  McLoughlin,87
23,1,HHS03191,Newpark Hotel,4.0,Kilkenny,4.0,R95 KP63,52.66435,-7.25055,Niall Dunne,131
24,1,HHS04311,Hilton Dublin,4.0,Dublin 2,4.0,D02 A893,53.33118,-6.25933,Paul Higgins,193
25,1,HHS03977,"Citywest Hotel, Leisure & Events",4.0,Saggart,4.0,D24 PKF1,53.28595,-6.45005,Linda Lockhart,761
26,1,HHS03991,Shamrock Lodge Hotel,4.0,Athlone,4.0,N37 CK73,53.42143,-7.95076,Alan McCaul,52
27,1,HHS34430,White Sands Hotel,4.0,Dublin 13,4.0,D13 W7X2,53.4352,-6.1243,Mary Murphy,58
28,1,HHS04179,"The College Green Hotel Dublin, Autograph Collection",5.0,Dublin 2,5.0,D02 HR67,53.34564,-6.25888,Joanne Dillon,191
29,1,HHS01322,Arbutus Hotel,4.0,Killarney,4.0,V93 AYP9,52.05955,-9.5061,Sean Buckley,29
30,1,HHS03260,Hotel Killarney,4.0,Killarney,4.0,V93 FX00,52.06029,-9.48468,Misja Herfurt,190
31,1,HHS01966,Twin Trees Hotel & Leisure Club,4.0,Ballina,4.0,F26 A3N7,54.11746,-9.13565,Rachael Moylett-Smith,52
32,1,HHS03119,The Anner Hotel,4.0,Thurles,4.0,E41 X789,52.67878,-7.79622,Noel Mulhaire,93
33,1,HHS02840,Falls Hotel,4.0,Ennistymon,4.0,V95 D2PC,52.94075,-9.29825,Michael McCarthy,135
34,1,HHS04298,Innisfallen Hotel,4.0,Killarney,4.0,V93 CR90,52.07062,-9.57417,Misja Herfurt,73
35,1,HHS40145,Fota Island Hotel and Spa,5.0,Carrigtwohill,5.0,T45 HX62,51.9003,8.2918,John O'Flynn,131
36,1,HHS03117,"Abbey Hotel, Conference and Leisure",4.0,Roscommon,4.0,F42 F992,53.62451,-8.19375,Enya Conroy,50
37,1,HHS01937,Garryvoe Hotel,4.0,Ladysbridge,4.0,P25 DR94,51.85922,-8.00438,Aidan Cotter,84
38,1,HHS04188,Glasson Lakehouse,4.0,Athlone,4.0,N37 HX45,53.47567,-7.90072,Conor O'Leary,69
39,1,HHS04424,Sneem Hotel,4.0,Sneem,4.0,V93 XV44,51.83377,-9.89926,Louis Moriarty,69
40,1,HHS03364,Kenmare Bay Hotel & Resort,4.0,Kenmare,4.0,V93 HY28,51.88302,-9.59135,Elma Callanan,126
41,1,HHS04291,Manor West Hotel Spa & Leisure Club,4.0,Tralee,4.0,V92 YC59,52.26405,-9.67638,COLIN BOYLE,77
42,1,HHS04229,Clybaun Hotel,4.0,Galway,4.0,H91 F62V,53.26948,-9.10814,Pawel Bartoszynski,92
43,1,HHS03023,Castlerosse Park Resort,4.0,Killarney,4.0,V93 VN5P,52.06621,-9.54,Mark Bowe,120
44,1,HHS02973,Ballygarry Estate Hotel and Spa,4.0,Tralee,4.0,V92 W279,52.26106,-9.66016,Padraig Fitzgerald,64
45,1,HHS04471,Delphi Resort,4.0,Leenane,4.0,H91 DP08,53.63153,-9.74711,Timothy Bohan,51
46,2,GAS07592,Teach De Broc,4.0,Ballybunion,4.0,V31 C971,52.49398,-9.6732,Dermot Brock,14
47,1,HHS03533,Hydro Hotel,4.0,Lisdoonvarna,4.0,V95 RY61,53.02666,-9.29042,Marcus White,110
