Place ID,Name,Latitude,Longitude,Address,County,Tags,Rating
0,Hungry Boba Pizzeria,53.351338,-6.2795464,"Unit 4, 8 Grangegorman Lower, Dublin, D07 X97Y",Dublin,"Activity,Food and Drink,Experience,Restaurant,Fast Food",3.9
1,A Rural Experience Day Tours,52.6297968743748,-7.07423970149609,"Castlefield, Gowran, ",Kilkenny,"Activity,Experience,Activity Operator,Tour",4.579660084723602
2,Teach an Tae Aran Café & Tea Rooms,53.06546109999999,-9.5252873,"Inisheer, Aran Islands, ",Galway,"Activity,Food and Drink,Experience,Cafe,Food Shops ,Shopping",4.7
3,A Heritage Walk of Old Galway,53.2721788149031,-9.04947254971209,"Mr Liam Silke, Galway City Centre, ",Galway,"Activity,Experience,Walking ,Walking,Activity Operator,Tour",4.3
4,A Spasso A Dublino - Italian Tour in Dublin,53.34224002305713,-6.251647725944508,"15 Bawnville Close, , ",Dublin,"Activity,Walking ,Walking,Activity Operator,Tour",5.0
5,A Touch of Ireland,53.336932,-6.236283,"Garden Level 39, Waterloo Road, Ballsbridge, ",Dublin,"Activity,Activity Operator,Tour",3.5
6,Aasleagh Falls,53.61960449999999,-9.6705825,"River, Letterass, Erriff, , ",Mayo,"Activity,Experience,Fishing,Angling,Nature and Wildlife",4.5
7,Abbey Ireland & UK,53.34460968243019,-6.276829060188334,"City Gate, 22 Bridge Street Lower, Dublin City, ",Dublin,"Activity,Experience,Activity Operator,Tour",3.3
8,Abbey Par 3 Golf Club,52.2321168,-6.863133599999999,"Winningtown, Fethard, ",Wexford,"Golf Course,Activity,Experience,Golf,Cafe,Food and Drink,Activity Operator,Food Shops ,Shopping",4.7
9,Abbey Theatre,53.3483986,-6.257178199999999,"26/27 Abbey Street Lower, North City, Dublin, D01 K0F1",Dublin,Activity,4.7
10,Abbey Theatre Tours,53.3483986,-6.257178199999999,"26/27 Abbey Street Lower, North City, Dublin, D01 K0F1",Dublin,"Activity,Activity Operator,Tour",4.7
11,Abbeyderg Abbey and Graveyard,53.6382337,-7.787188899999999,"Curraghmore, , ",Longford,"Activity,Experience,Attraction,Historic Houses and Castle,Church Abbey,Monastery,Churches, Abbeys and Monastery,Ruins",4.579660084723602
12,Abbeyfeale Farmers Market,52.384547,-9.301963,"The Square, Abbeyfeale, ",Limerick,"Activity,Food and Drink,Experience,Restaurant,Shopping,Shopping Centres and Department Store,Food Shops ",4.6
13,Abbeyleix Chauffeur Services,52.9299434,-7.372373100000001,"Boutari House, Ballytarsna, Abbeyleix, ",Laois,"Activity,Experience,Transport,Activity Operator,Tour,Coach,Road",4.5
14,Abbeyleix Golf Club,52.92176300000001,-7.3372447,"Rathmoyle Lodge, Ballyroan Rd, Rathmoyle, Abbeyleix, ",Laois,"Golf Course,Activity,Experience,Golf,Activity Operator",4.6
15,Abbeyleix Heritage House,52.9172919,-7.346411400000001,"Heritage House, Rathmoyle, Abbeyleix, ",Laois,"Activity,Experience,Tracing Your Ancestors,Attraction,Historic Houses and Castle,Museums and Attraction,Tour",4.6
16,Abbeyshrule Monastery,53.57969142738988,-7.658347078712495,"Drumanure, Abbeyshrule, ",Longford,"Activity,Experience,Attraction,Historic Houses and Castle,Church Abbey,Monastery,Churches, Abbeys and Monastery,Ruins",4.5
17,About Ireland Taxi Tours,51.89841533167159,-8.474005710352685,", Cork City, ",Cork,"Activity,Experience,Activity Operator,Tour",4.498127674750356
18,Cork Tours by About Ireland Taxi Tours,51.8985143,-8.4756035,", , ",Cork,"Activity,Experience,Activity Operator,Tour",4.498127674750356
19,Limerick Tours by About Ireland Taxi Tours,52.6638367,-8.6267343,", , ",Limerick,"Activity,Experience,Activity Operator,Tour",4.3
20,Waterford Tours by About Ireland Taxi Tours,52.2429391,-7.1083647,", Waterford City, ",Waterford,"Activity,Experience,Activity Operator,Tour",4.498127674750356
21,Kerry Tours by About Ireland Taxi Tours,52.15446069999999,-9.5668632,"Kerry, , ",Kerry,"Activity,Experience,Activity Operator,Tour",4.0
22,Kilkenny Tours by About Ireland Taxi Tours,52.6541454,-7.2447879,", , ",Kilkenny,"Activity,Experience,Activity Operator,Tour",5.0
23,Dublin Tours by About Ireland Taxi Tours,53.3498053,-6.2603097,", , ",Dublin,"Activity,Experience,Activity Operator,Tour",5.0
24,Galway Tours by About Ireland Taxi Tours,53.27056400000001,-9.0566819,", Galway City, ",Galway,"Activity,Experience,Activity Operator,Tour",4.0
25,Acapulco Mexican Restaurant,53.343616,-6.264233299999999,"7 South Great George's Street, Dublin, D02 EV81",Dublin,"Activity,Food and Drink,Restaurant",4.2
26,ACET - Cork Language Centre International,51.9022032,-8.4692546,"Wellington House, 16 St Patrick's Pl, Wellington Rd, , T23 AK82",Cork,"Activity,Experience,Learning",4.2
27,Achill Archaeological Field School - Scoil Seandálúil Acla,53.9747652,-10.1285782,"Achill Folklife Centre, Dooagh, Achill Island, , F28 HK11",Mayo,"Activity,Experience,Learning,Activity Operator",4.7
28,Achill Bikes - Bike Rental,53.9740896,-10.1327073,"R319, Co. Mayo, Ireland, Keel West, Dooagh, , F28 R2P7",Mayo,"Activity,Experience,Cycling,Activity Operator,Bike Rental",4.6
29,Achill Cliff House Restaurant,53.976098,-10.0810517,"Keel, Keel East, Achill Island, , ",Mayo,"Activity,Food and Drink,Experience,Restaurant",4.6
