Name,Rating,Latitude,Longitude,Address,Tags
Blarney Stone,4.6,51.9290491,-8.5709865,"Blarney, Cork, T23 Y598, Ireland","tourist_attraction, point_of_interest, establishment"
Blarney Castle & Gardens,4.7,51.9290922,-8.570884699999999,"Blarney, Cork, Ireland","tourist_attraction, park, point_of_interest, establishment"
Rock of Cashel,4.6,52.5200763,-7.890452199999999,"St. Patricksrock, Cashel, Co. Tipperary, Ireland","tourist_attraction, point_of_interest, establishment"
Kilmainham Gaol,4.7,53.34187009999999,-6.309804799999999,"Inchicore Rd, Kilmainham, Dublin 8, D08 RK28, Ireland","museum, tourist_attraction, point_of_interest, establishment"
National Gallery of Ireland,4.6,53.3408887,-6.2522962,"Merrion Square W, Dublin 2, D02 K303, Ireland","art_gallery, tourist_attraction, store, point_of_interest, establishment"
Ireland's Oldest Bridge,4.7,53.5560825,-6.7910203,"Bridge St, Townparks North, Trim, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
Powerscourt House & Gardens,4.7,53.1842905,-6.1866837,"Powerscourt Demesne, Enniskerry, Co. Wicklow, Ireland","tourist_attraction, park, point_of_interest, establishment"
Experience Glasnevin - Ireland's National Cemetery,4.8,53.37003,-6.2770874,"Finglas Rd, Glasnevin, Dublin, D11 H2TH, Ireland","tourist_attraction, travel_agency, point_of_interest, establishment"
Bunratty Castle & Folk Park,4.6,52.70035559999999,-8.8122455,"Bunratty East, Bunratty, Co. Clare, Ireland","museum, tourist_attraction, park, point_of_interest, establishment"
Dublinia,4.5,53.34312689999999,-6.2719444,"St Michaels Hill Christ Church, Dublin 8, Ireland","tourist_attraction, museum, point_of_interest, establishment"
Killarney National Park,4.8,52.0058447,-9.5561803,"Co. Kerry, Ireland","tourist_attraction, park, point_of_interest, establishment"
Trim Castle,4.7,53.5544153,-6.789816,"Manorland (1st Division), Trim, Co. Meath, Ireland","tourist_attraction, point_of_interest, establishment"
The Spire,4.3,53.3498059,-6.2602557,"O'Connell Street Upper, North City, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Irish Museum of Modern Art,4.3,53.3428506,-6.3006752,"Royal Hospital Kilmainham, Military Rd, Kilmainham, Dublin 8, D08 FW31, Ireland","museum, tourist_attraction, point_of_interest, establishment"
Irish Whiskey Museum,4.6,53.344198,-6.259525,"119 Grafton Street, Dublin, D02 E620, Ireland","museum, tourist_attraction, point_of_interest, establishment"
Kylemore Abbey & Victorian Walled Garden,4.6,53.56163919999999,-9.8893126,"Pollacappul, Co. Galway, Ireland","cafe, museum, tourist_attraction, store, food, church, place_of_worship, point_of_interest, establishment"
EPIC The Irish Emigration Museum,4.6,53.3482413,-6.248079799999999,"The Chq Building, Custom House Quay, North Wall, Dublin 1, Ireland","museum, tourist_attraction, travel_agency, point_of_interest, establishment"
Guinness Storehouse,4.4,53.3418088,-6.2867155,"St. James's Gate, Dublin 8, D08 VF8H, Ireland","tourist_attraction, food, point_of_interest, establishment"
Maynooth Castle,4.4,53.38082780000001,-6.5943071,"Maynooth Castle, Main St, Maynooth, Co. Kildare, Ireland","tourist_attraction, point_of_interest, establishment"
Kellogg's Skyline Croke Park,4.7,53.36054900000001,-6.250365700000001,"GAA Museum and Stadium Tour, Croke Park, St Joseph's Ave, Drumcondra, Dublin 3, Ireland","tourist_attraction, point_of_interest, establishment"
Irish Music Wall of Fame,4.4,53.34498989999999,-6.2643016,"Temple Ln S, Temple Bar, Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
Molly Malone Statue,4.4,53.3437409,-6.260972499999999,"Suffolk St, Dublin 2, D02 KX03, Ireland","tourist_attraction, point_of_interest, establishment"
Malahide Castle & Gardens,4.6,53.44457670000001,-6.1655167,"Back Rd, Malahide Demesne, Malahide, Co. Dublin, Ireland","tourist_attraction, point_of_interest, establishment"
